zotero_key,title,doi,date,item_type,provenance,status,has_pdf,pdf_key,pdf_filename,text_path,extraction_ok,note
UBHFFRRF,The Rise of Chinese AI in the Gulf: a Renewal of China’s ‘Serbia Model’,,2020-10-13,webpage,policy_commons,valid,True,68CN7YBI,Wendy Robinson - 2020 - The Rise of Chinese AI in the Gulf a Renewal of China’s ‘Serbia Model’.pdf,Diss_Methods_Data/corpus/text/The_Rise_of_Chinese_AI_in_the_Gulf__a_Renewal_of_China_s__Serbia_Model_.txt,True,
I8G3RUHR,Amicus Curiae,,2026-04-21,webpage,policy_commons,valid,True,9GPUX24H,EPIC - 2026 - Amicus Curiae.pdf,Diss_Methods_Data/corpus/text/Amicus_Curiae.txt,True,
PHTD3HJW,EU's AI Act Falls Short in Protecting Human Rights,,2024-04-03,webpage,policy_commons,valid,True,NYN635E3,Ella Jakubowska et al. - 2024 - EU's AI Act Falls Short in Protecting Human Rights.pdf,Diss_Methods_Data/corpus/text/EU_s_AI_Act_Falls_Short_in_Protecting_Human_Rights.txt,True,
HAQ8JASW,Predictive Policing in Fortaleza: Public Safety and the Use of Technological Tools in Crime Prevention,,2019-03-01,webpage,policy_commons,removed,False,,,,,"<div data-schema-version=""9""><p>REMOVE AFTER MANUAL REVIEW -- in Portuguesse u</p>
<p></p>
</div>"
MXV4LXTD,Privacy Challenges and Big Data in Smart City,,2020-11-01,webpage,policy_commons,valid,True,RUN5RTGD,Iam-chong Ip et al. - 2020 - Privacy Challenges and Big Data in Smart City.pdf,Diss_Methods_Data/corpus/text/Privacy_Challenges_and_Big_Data_in_Smart_City.txt,True,
7TSCH99D,Synergy: The Essential Condition for Success in Civil-Military Planning for Smart Cities,,2018-06-01,webpage,policy_commons,valid,True,F2QZ3WPH,Sorina-Georgiana Rusu - 2018 - Synergy The Essential Condition for Success in Civil-Military Planning for Smart Cities.pdf,Diss_Methods_Data/corpus/text/Synergy__The_Essential_Condition_for_Success_in_Civil-Military_Planning_for_Smart_Cities.txt,True,
ENHJBPGP,Who Buys and Controls CCTV? Myanmar's Slippery Slope to Mass Surveillance,,2022-08-01,webpage,policy_commons,valid,True,4D8NFQQI,ARTICLE 19 and Digital Rights Collective - 2022 - Who Buys and Controls CCTV Myanmar's Slippery Slope to Mass Surveillance.pdf,Diss_Methods_Data/corpus/text/Who_Buys_and_Controls_CCTV__Myanmar_s_Slippery_Slope_to_Mass_Surveillance.txt,True,
CLHRB3BB,China's Smart Cities Development,,2020-01-01,webpage,policy_commons,valid,True,WN5H74JB,Katherine Atha et al. - 2020 - China's Smart Cities Development.pdf,Diss_Methods_Data/corpus/text/China_s_Smart_Cities_Development.txt,True,
BWY54TKI,Security in Modern Smart Cities: An Information Technology Perspective,10.1109/c-code.2019.8681021,2019,conferencePaper,wos,valid,True,HGUKZFR8,Jameel et al. - 2019 - Security in Modern Smart Cities An Information Technology Perspective.pdf,Diss_Methods_Data/corpus/text/Security_in_Modern_Smart_Cities__An_Information_Technology_Perspective.txt,True,
ZWDNGNEH,A Smart City Assisted Internet of Military Defense Things Architecture,10.1109/IOTM.001.2400160,2025 MAR,journalArticle,wos,valid,True,TTTIK2UM,Tsiolis and Leivadeas - 2025 - A Smart City Assisted Internet of Military Defense Things Architecture.pdf,Diss_Methods_Data/corpus/text/A_Smart_City_Assisted_Internet_of_Military_Defense_Things_Architecture.txt,True,
4F39U7RL,Will GPS Jammers Proliferate in the Smart City?,,2019,journalArticle,wos,valid,True,WPWQQUJ6,Westbrook - 2019 - Will GPS Jammers Proliferate in the Smart City.pdf,Diss_Methods_Data/corpus/text/Will_GPS_Jammers_Proliferate_in_the_Smart_City_.txt,True,
