id,search,source,priority,hints,title,authors,year,doi,journal,keywords,abstract,exclude_hint,INCLUDE?,notes
11,A,policy_commons,HIGH,,Open Letter: Reject Discriminatory Police AI in EU AI Act,,2023,,,biometrics; artificial intelligence; human rights; algorithmic bias; digital rights; police ai; predictive policing; surveillance; eu ai act; data protection,"This open letter, signed by a coalition of civil society organizations and individuals, urges EU AI Act negotiators to reject the legalization of dangerous and discriminatory police AI. The letter highlights concerns about governments and lobbyists pressuring lawmakers to compromise fundamental rights and freedoms by allowing predictive policing, biometric categorization, and emotion recognition technologies. These tools are criticized for being ineffective, rooted in discriminatory premises, and enabling mass surveillance. The signatories call for adherence to human rights laws and the rejection of proposals that would undermine the rule of law.",,Include,
,,,,,,,,,,,,,,
13,A,policy_commons,HIGH,,EPIC Comments on Law Enforcement Use of Surveillance Technologies,Jeramie Scott,2024,,,facial recognition; biometrics; data security; privacy; civil liberties; civil rights; transparency; accountability; predictive policing; surveillance,"The Electronic Privacy Information Center (EPIC) submits comments to the Department of Justice (DOJ) and Department of Homeland Security (DHS) regarding the use of facial recognition, biometric, and predictive algorithm technologies by law enforcement. EPIC expresses concern about the lack of transparency, accountability, and oversight in the deployment of these technologies, emphasizing the need for stronger safeguards to protect privacy, civil rights, and civil liberties. EPIC recommends prohibiting mass surveillance, protecting constitutional rights, ensuring non-discrimination, and requiring thorough evaluations before deploying new surveillance technologies. The comments also address specific technologies like facial recognition, predictive policing, social media surveillance, and DNA analysis, advocating for adherence to key principles that promote public trust and fairness.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
18,A,policy_commons,HIGH,smart_city,"Information, Knowledge and Digital Disruption Symposium",,2017,,,information technology; machine learning; robotics; artificial intelligence; automation; smart city; national security; digital disruption; defence; emerging technologies,"The Emerging and Disruptive Technology Assessment Symposium (EDTAS) focuses on the impact of emerging technologies on Defence and National Security within a 10-20+ year timeframe. The symposium explores future Defence research and preparation for disruptive trends in Information, Knowledge, and Digital Disruption, particularly within a smart city environment. Key themes include technologies in 2040, smart city applications, capability concepts, and socio-economic, legal, and ethical considerations. A main outcome is a Big Picture Assessment Report developed from attendee contributions, aiming to identify research areas and industry focus points to improve Defence capability.",,Include,
19,A,policy_commons,HIGH,,Big Data Applications in Crime and Security,Abbi Hobbs,2014,,,digital technologies; postnote; crime and justice; crime prevention; data privacy; civil liberties; law enforcement; national security; crime detection; data analysis; predictive policing; surveillance; big data,"This POSTnote explores the utilization of big data analytics by law enforcement and security agencies for crime prevention, detection, and national security. It discusses the opportunities and challenges associated with processing and analyzing large, complex datasets, highlighting examples such as predictive policing and financial fraud detection. The briefing also addresses regulatory considerations, public perceptions regarding privacy and civil liberties, and the potential social benefits of these technologies.",,Include,
,,,,,,,,,,,,,,
21,A,policy_commons,HIGH,,US Ignite: Smart Base Capability Development for the Department of Defense,,2022,,,smart cities; smart base; dod; us ignite; testbeds; fort carson; fort benning; mcas miramar; technology; innovation,"US Ignite collaborates with the Department of Defense (DoD) to bring smart city capabilities to military installations, modernizing operations and creating effective Smart Base solutions. They leverage expertise in managing large-scale laboratories and partner with defense research groups, academia, and the commercial sector. US Ignite manages three Smart Base testbeds (Fort Carson, Fort Benning, and MCAS Miramar) to promote dual-use development of commercial technologies, focusing on problem identification, solution development, and performance measurement. Select project examples include inclement weather decision support, energy communications via 5G, and automated shuttle services.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24,A,policy_commons,HIGH,,Huawei's Smart Cities and CCP Influence,Matt Schrader; Russell Hsiao,2018,,,huawei; smart cities; ccp; china; surveillance; espionage; social control; taiwan; geopolitics; national security,"This article examines the potential for Huawei's smart city technology to be leveraged by the Chinese Communist Party (CCP) for domestic social control and international surveillance. It highlights how Huawei's ""safe city"" solutions, integrating surveillance and data analysis, could be used to suppress dissent, protect vested interests, and potentially enable intelligence gathering abroad. The article also discusses China's intensifying pressure campaign against Taiwan, including diplomatic, military, and economic coercion, as well as cyber espionage.",,Include,
25,A,policy_commons,HIGH,smart_city,Smart Cities with Chinese Characteristics: Policy Analysis,Hiddai Segev,2021,,,smart city; china; urban planning; artificial intelligence; data security; national security; cybersecurity; privacy; technology; policy,"This paper analyzes the rise of smart cities, particularly focusing on China's advancements and global export of smart city technologies. It highlights the benefits of smart cities while also addressing the potential risks to individual privacy, data security, and national security. The study examines China's approach to smart city development, including the use of AI, facial recognition, and social credit systems. It also investigates the export of Chinese smart city systems to various countries and the associated allegations of spreading authoritarian norms and values. Finally, it discusses the development of smart cities in Israel and the need for a comprehensive national plan to manage risks related to privacy, data security, and cyber protection.",,Include,
,,,,,,,,,,,,,,
27,A,policy_commons,HIGH,,U.S.-China Competition in Emerging Technologies: LiDAR,Karen M. Sutter; Kelley M. Sayler,2024,,,lidar; emerging technologies; u.s.-china competition; industrial policy; intellectual property; national security; autonomous vehicles; remote sensing; military technology,"This report examines the competition between the United States and China in the emerging technology of Light Detection and Ranging (LiDAR). It discusses LiDAR technology, its development, and various applications, including automotive, agriculture, military and smart cities. The report highlights how Chinese firms are advancing in the LiDAR market through industrial policies, acquisitions, and partnerships, sometimes using questionable practices to obtain intellectual property. It also explores potential national security implications due to the use of PRC LiDAR systems in the U.S. and discusses issues for Congress to consider in ensuring fair competition and protecting U.S. interests.",,Include,
28,A,policy_commons,HIGH,,China’s Smart Cities and the Future of Geopolitics,Valentin Weber,2023,,,smart cities; china; geopolitics; artificial intelligence; surveillance; digital brain; data security; civil-military fusion,"This strategic update examines China's development and export of smart city technologies, particularly the concept of the 'city brain,' which aggregates and analyzes urban data using AI and cloud computing. It explores the geopolitical implications of connecting these city brains into larger networks, potentially leading to a 'world digital brain' supported by China's Beidou geospatial system. The report highlights concerns about data security, military applications, and China's potential for increased influence through surveillance infrastructure, focusing on specific projects in locations like Mauritius, the Philippines, and Papua New Guinea.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,A,policy_commons,HIGH,,AI Global Surveillance (AIGS) Index,,2019,,,ai; global surveillance; facial recognition; smart policing; regime type; freedom of information; military expenditure; belt and road initiative; data privacy; political science,"This document presents the AI Global Surveillance (AIGS) Index, a compilation of data related to the global adoption and deployment of AI-powered surveillance technologies. It includes country-specific information on regime type, freedom on the net status, military expenditures, participation in the Belt and Road Initiative, China's overseas direct investment ranking, and the presence of smart city/safe city initiatives utilizing facial recognition and smart policing. The index also identifies key companies involved in AI technology, categorized by their origin (China, US, Japan).",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
34,A,policy_commons,HIGH,predictive_policing,We Sense Trouble: Automated Discrimination and Mass Surveillance in Predictive Policing in the Netherlands,Amnesty International,2020,,,predictive policing; mass surveillance; discrimination; ethnic profiling; human rights; data protection; netherlands; algorithmic bias; criminal justice; privacy,"This Amnesty International report investigates the ""Sensing project"" in Roermond, Netherlands, a predictive policing initiative using data and algorithms to anticipate crime. The report finds that the project, designed to prevent 'mobile banditry' (property crime), involves mass surveillance, collects data indiscriminately, and disproportionately targets people of Eastern European origin, particularly Roma individuals, leading to discrimination and privacy violations. The report criticizes the project's flawed design, lack of transparency, and the misuse of the Road Traffic Act for discriminatory stops and searches. It argues that predictive policing projects like Sensing, developed without adequate legal frameworks, pose significant risks to human rights.",,Include,
,,,,,,,,,,,,,,
36,A,policy_commons,HIGH,,ACLU Comments on Law Enforcement Use of Facial Recognition and Other Biometric Technologies,American Civil Liberties Union,2024,,,facial recognition; biometrics; civil rights; civil liberties; law enforcement; predictive policing; privacy; surveillance; algorithms; aclu,"The ACLU submits comments regarding the use of facial recognition technology (FRT), fingerprint, iris, DNA technologies, and predictive policing algorithms by law enforcement agencies. It raises civil rights and civil liberties concerns, including unjustified arrests, exacerbating racism in policing, and violating privacy rights. The ACLU advocates for a federal moratorium on FRT use by law and immigration enforcement, highlighting its unreliability, bias, and potential for mass surveillance. The comments emphasize the need for transparency and robust protections, and call for a ban on technologies with no safe use.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
41,A,policy_commons,HIGH,,Paradigm Initiative’s input to the OHCHR on AI in Countering Terrorism,Paradigm Initiative,2025,,,artificial intelligence; counter-terrorism; human rights; privacy; surveillance; algorithmic bias; data protection; digital rights,"Paradigm Initiative provides input to the OHCHR on the human rights impacts of using AI in countering terrorism. The submission identifies affected rights, including privacy, freedom of expression, and non-discrimination, and highlights risks associated with mass surveillance, predictive policing, and algorithmic profiling. It emphasizes the need for key principles such as human rights by design, transparency, accountability, and human oversight. The document also discusses due diligence, risk assessments, and the inclusion of marginalized groups in AI governance.",,Include,
42,A,policy_commons,HIGH,,China’s Digital Silk Road,Robert D. Atkinson; William C. Mayville; Emily Rauhala; Hirobumi Kayama; Matthew P. Goodman; Jonathan E. Hillman; Kate O’Keeffe,2019,,,digital silk road; china; technology; infrastructure; 5g; telecommunications; e-commerce; digital governance; international security; cybersecurity,"This transcript captures a CSIS event discussing China's Digital Silk Road initiative. Speakers address the initiative's components: telecommunications infrastructure, e-commerce, and smart city projects, with emphasis on US-Japan collaboration given technological advancements in Asia. Concerns about China's dominance in setting technology standards, data access, and potential military implications are raised. The discussion also covers Huawei's role, its impact on global 5G, and security risks. The panel analyzes the initiative's broader strategic implications, the necessity for the U.S. and its allies to present alternatives, and how to respond effectively, including commercial strategies and data localization.",,Include,
43,A,policy_commons,HIGH,,The Rise of Chinese AI in the Gulf: a Renewal of China’s ‘Serbia Model’,Wendy Robinson,2020,,,china; artificial intelligence; gulf states; serbia; military technology; smart cities; uav; technology transfer; foreign policy; international relations,"This policy analysis examines China's growing influence in the Gulf region through the export of advanced technologies, particularly artificial intelligence (AI), smart city infrastructure, and unmanned aerial vehicles (UAVs). It argues that China is replicating a model pioneered in Serbia, where technology transfers led to increased military collaboration. The Gulf states, with their wealth and strategic locations, are becoming key markets for Chinese technology. The analysis suggests that the United States can counter China's growing influence by offering diverse, high-quality technology options, addressing export restrictions, and highlighting the security risks associated with Chinese technology.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
50,A,policy_commons,HIGH,,Amicus Curiae,EPIC,2026,,,alpr; fourth amendment; privacy; surveillance; predictive policing; constitutional law; criminal justice; data privacy; epic,"This amicus curiae brief argues that the City of Norfolk's warrantless operation of its mass surveillance Automated License Plate Reader (ALPR) system constitutes an unreasonable search violating the Fourth Amendment. Modern ALPR systems gather extensive location data, enabling law enforcement to infer identities and monitor routines, thereby infringing on privacy rights. Furthermore, AI-enabled ALPRs perpetuate discriminatory predictive policing by relying on biased data and limiting transparency, which risks reviving general warrant powers and undermining democratic principles.",,Include,
51,A,policy_commons,HIGH,,EU's AI Act Falls Short in Protecting Human Rights,Ella Jakubowska; Kave Noori; Mher Hakobyan; Karolina Iwańska; Kilian Vieth-Ditlmann; Nikolett Aszodi; Judith Membrives Llorens; Caterina Rodelli; Daniel Leufer; Nadia Benaissa; Ilaria Fevola,2024,,,artificial intelligence; ai act; human rights; privacy; discrimination; surveillance; eu law; ai ethics; fundamental rights; ai regulation,"This analysis critically evaluates the EU's AI Act, adopted in April 2024, arguing it falls short of establishing a gold standard for human rights protection. While acknowledging some progress, such as accessibility requirements and a public database for high-risk AI systems, the document highlights significant loopholes. These include carve-outs for law enforcement and migration authorities, insufficient transparency, doubts about the meaningfulness of fundamental rights impact assessments, and weak redress mechanisms. The Act is criticized for allowing double standards for AI systems impacting people outside the EU and for providing broad exemptions for national security, potentially undermining safeguards. Partially banned practices like predictive policing and live facial recognition are noted, but with significant loopholes that legitimize their use in certain contexts. The Act also fails to adequately address the harms of retrospective facial recognition and imposes weak rules for AI used in migration contexts, setting a dangerous precedent. Finally, the framework for risk classification is seen as a self-regulatory exercise, and environmental impacts are only tentatively addressed.",,Include,
52,A,policy_commons,HIGH,predictive_policing,Predictive Policing in Fortaleza: Public Safety and the Use of Technological Tools in Crime Prevention,Edson Rebouças Vasconcelos,2019,,,predictive policing; public safety; crime prevention; technological tools; fortaleza; homicide; military police; data analysis; law enforcement; urban violence,"This dissertation proposes the implementation of a technological tool for the Military Police in Fortaleza to act as a preventive mechanism, specifically targeting homicides. Facing high crime rates, particularly homicides in areas like Jangurussu and Conjunto Palmeiras (AIS-3), the research utilizes bibliographical and statistical data. It argues that technology can supplement traditional policing, enhancing public safety and the feeling of security. The study explores public safety as a fundamental right and suggests an intervention in Fortaleza, using a software algorithm for predictive policing to promote conflict resolution, social peace, and public order, making police actions more proactive and human. The focus is on optimizing police resources by predicting crime hotspots, rather than solely increasing personnel.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
56,A,policy_commons,HIGH,smart_city,Privacy Challenges and Big Data in Smart City,Iam-chong Ip; King-Wa Fu; Yuk-ming Leung; Kai-chi Leung,2020,,,smart city; big data; privacy; surveillance; data protection; hong kong; public policy; regulation,"This research report examines the privacy challenges posed by big data and smart city initiatives in Hong Kong. It highlights a significant gap between current governance mechanisms and public expectations regarding data privacy, particularly concerning government surveillance. The study analyzes two case studies: the ""Multi-functional Smart Lampposts"" pilot scheme and a facial recognition access system in a residential estate. It finds that existing regulations, like the Personal Data (Privacy) Ordinance, are insufficient to address new forms of personal data and the concerns surrounding surveillance states. The report recommends rebuilding public trust, enacting legislation to limit government data processing, mandating privacy impact assessments, improving data transparency, and establishing an independent body to oversee national security-related data collection.",,Include,
57,A,policy_commons,HIGH,smart_city,Synergy: The Essential Condition for Success in Civil-Military Planning for Smart Cities,Sorina-Georgiana Rusu,2018,,,smart city; synergy; civil-military planning; urban security; risk management; crisis management; spatial planning; public safety; information technology,"This article explores the crucial role of synergy in the civil-military planning process within smart cities. It argues that integrating multidimensional security (social, environmental, cyber, etc.) is vital for efficient smart city operation during peace, crisis, or war. The concept of a smart city, characterized by intelligent infrastructure and a focus on productivity and prosperity, harmonizes ecology, technology, and society. The paper emphasizes the need for continuous civil-military cooperation, mutual monitoring, and information exchange among urban actors to ensure the safety of citizens and critical infrastructure. It highlights that synergy between civilian and military entities is fundamental for managing risks, preventing incidents, and effectively responding to diverse threats in increasingly complex urban environments.",,Include,
58,A,policy_commons,HIGH,,Who Buys and Controls CCTV? Myanmar's Slippery Slope to Mass Surveillance,ARTICLE 19; Digital Rights Collective,2022,,,cctv; myanmar; surveillance; mass surveillance; human rights; privacy; freedom of expression; smart cities; data protection; procurement,"This report by ARTICLE 19 and Digital Rights Collective investigates the procurement and deployment of Closed-Circuit Television (CCTV) systems in Myanmar, focusing on Mandalay, Yangon, and Naypyidaw. It highlights concerns about transparency, accountability, and the human rights implications of CCTV infrastructure, especially in the context of the 2021 military coup. The study reveals how CCTV systems, often procured through opaque processes with significant involvement from companies like Huawei, are becoming the foundation for mass surveillance and AI-driven technologies. The report emphasizes the lack of data protection frameworks and the erosion of freedoms of expression, privacy, and assembly due to the expanding surveillance network. Recommendations are provided for the military junta and private sector to ensure rights-respecting smart city development.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
62,A,policy_commons,MEDIUM,,China's Smart Cities Development,Katherine Atha; Jason Callahan; John Chen; Jessica Drun; Kieran Green; Brian Lafferty; Joe McReynolds; James Mulvenon; Benjamin Rosen; Emily Walz,2020,,,smart cities; china; technology; surveillance; urban development; belt and road initiative; national security; artificial intelligence; iot,"This research report examines China's development and promotion of smart cities technologies. It details China's policies, development trends, and the significant role of government investment in this sector. The report highlights the dual nature of smart cities, noting their potential for improving urban management and public services, but also their extensive use for mass surveillance. Furthermore, it analyzes China's export of these technologies globally, particularly through the Belt and Road Initiative. The report contrasts China's top-down approach with the U.S.'s bottom-up strategy and discusses the implications for U.S. national security, economic competitiveness, and critical infrastructure.",,Include,
63,A,unknown,MEDIUM,,Security in Modern Smart Cities: An Information Technology Perspective,"Jameel, Tanzeela; Ali, Rukhsana; Ali, Shumaila",2019,10.1109/c-code.2019.8681021,"2019 2ND INTERNATIONAL CONFERENCE ON COMMUNICATION, COMPUTING AND DIGITAL SYSTEMS (C-CODE)",,"In a big and modern city, the security system is not a single-layered single module system. Instead, it consists of many layers with autonomous subsystems which are capable of interfacing reciprocally in an efficient and coordinated way horizontally and vertically. The design of such indigenous subsystems and ensuring tight interaction between them while taking into account high usability and resource utilization is not a simple task. In this regard, this article provides a comprehensive overview of the security systems in smart cities. We begin by introducing trends and key stakeholders in smart cities. Next, we provide examples of mass surveillance systems in developed countries like the USA, UK, and China. Finally, we highlight some of the major challenges in the practical realization of smart cities. The concepts and security aspects discussed in this study can be beneficial in designing security systems for future smart cities.",,Include,
64,A,unknown,HIGH,smart_city,A Smart City Assisted Internet of Military Defense Things Architecture,"Tsiolis, Dimitra; Leivadeas, Aris",2025,10.1109/IOTM.001.2400160,IEEE INTERNET OF THINGS MAGAZINE,,"As Smart Cities become a reality, these intelligent urban environments will likely impact the future operational environment, where future military forces will have to conduct a range of operations. Situational awareness (SA), a critical element of military operations, can be produced and maintained by leveraging existing Smart City Internet of Things (IoT), while deploying in parallel the Internet of Military Defense Things (IoMDT). Therefore, in this article, we propose an architecture that enables future military forces, in a permissive intelligent urban operational environment, to access Smart City IoT, deploy their own IoMDT, and leverage distributed and opportunistic computing paired with distributed edge intelligence, to produce and maintain accurate and real-time SA.",,Include,
65,A,unknown,HIGH,smart_city,Will GPS Jammers Proliferate in the Smart City?,"Westbrook, Tegg",2019,,SALUS JOURNAL,,"The Smart City will rely extensively on consented and unconsented information about people's location and movements in order to fulfil its many ambitions. Utilising the Global Positioning System (GPS) is necessary and practical for Smart City agendas, as it provides time and positioning information which is essential for tracking systems. Nevertheless, the emergence of GPS-enabled tracking technologies over recent decades has spurred an increase in the use of GPS jamming devices (or Personal Privacy Devices (PPDs)). This article therefore argues that the normalisation of tracking in the Smart City may lead to the wider ownership of GPS jammers. To overcome this, the article explores the ways in which jammer proliferation can be overcome or avoided entirely taking examples of military, security, and civilian counter-jamming technologies and strategies.",,Include,
66,A,unknown,HIGH,smart_city,Public Trust and Political Legitimacy in the Smart City: A Reckoning for Technocracy,"Hartley, Kris",2021,10.1177/0162243921992864,SCIENCE TECHNOLOGY & HUMAN VALUES,,"The 2020 introduction by China's central government of a national security law (NSL) in Hong Kong marked a watershed moment in the social and political history of the semiautonomous city. The law emerged after months of street protests that reflected declining public trust in Hong Kong's government. Against this turbulent backdrop, Hong Kong's policy projects moved forward, including smart city development. This article explores public trust in and political legitimacy of Hong Kong's smart cities endeavors in the period leading up to the introduction of the NSL. At a theoretical level, the smart cities phenomenon invites critical reflection about tensions between technocracy and democracy, but this topic remains largely unexploited by empirical literature. Using survey data from 1,017 residents, this study identifies confidence in the benefits of smart cities but lesser trust in privacy and security and lesser satisfaction with participation opportunities in related policymaking. Probing these dynamics, the study finds that trust in smart city mechanics and governance associate positively with support for smart cities, controlling for ideology and issue awareness. Illuminating a theoretical and practical puzzle, these findings contribute empirically to discussions about the political legitimacy of scientific, technological, and technocratic undertakings in the public sector.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
70,A,unknown,HIGH,,"Smart cities, backward frontiers: digital urbanism in India's north-east","McDuie-Ra, Duncan; Lai, Lauren",2019,10.1080/09584935.2019.1647144,CONTEMPORARY SOUTH ASIA,,"India's Smart Cities Mission (SCM) launched in 2015 has awarded 100 smart cities nation-wide, proffering funds, compulsory corporate partnerships, and new configurations of urban governance. Perhaps most striking are the ten smart city bids from Northeast India, a region shaped unevenly by separatism, military occupation, and heavy economic dependency. Smart cities in the Northeast have been awarded with key exceptions to SCM rules. We take this to be a largely unprecedented experiment in digital urbanism in what Dunn and Cons (2014. ""Aleatory Sovereignty and the Rule of Sensitive Spaces."" Antipode 46 (1): 92-109) label 'sensitive space'. Through a critical reading of the 10 smart city bids from the Northeast we make three arguments. First, despite the techno-utopian rhetoric, the primary aim of the SCM is integrating frontier space into national territory. Second, the extension of the SCM to the frontier accelerates the recalibration of the frontier into a market for corporate capital under the necessary stewardship of the Indian state, though the role for customary authorities in these arrangements is unclear. Third, with few other avenues for revenue generation and in response to perceptions of neglect, local authorities have used SCM bids to request conventional infrastructure rather than digitally networked projects.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
73,A,unknown,HIGH,smart_city,Application of IoT in Military Operations in a Smart City,"Johnsen, Frank T.; Zielinski, Zbigniew; Wrona, Konrad; Suri, Niranjan; Fuchs, Christoph; Pradhan, Manas; Furtak, Janusz; Vasilache, Bogdan; Pellegrini, Vincenzo; Dyk, Michal; Marks, Michal; Krzyszton, Mateusz",2018,,2018 INTERNATIONAL CONFERENCE ON MILITARY COMMUNICATIONS AND INFORMATION SYSTEMS (ICMCIS),,"This paper addresses a scenario where a medium sized smart city in an Alliance nation has been struck by disaster. A small, multi-national force is deployed for disaster relief. Situational awareness (SA) is important so that resources, including personnel and supplies, may be prioritized to have the most impact and help those in the most need. This SA can be significantly enhanced via information obtained from Internet of Things (IoT) devices, especially in a smart city environment.This paper, which presents work performed by the NATO IST-147 ""Military Applications of Internet of Things"" group, explores the potential to exploit smart city IoT capabilities in military operations.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
77,A,unknown,HIGH,smart_city,A Survey of Smart City Assets for Future Military Usage,"Pradhan, Manas",2018,,"2018 INTERNATIONAL SYMPOSIUM ON NETWORKS, COMPUTERS AND COMMUNICATIONS (ISNCC 2018)",,"The primary purpose of military anywhere around the world is to protect and serve the people. Over the years, the role of the military has diversified which has required the military to serve countries in several capabilities. Be it active wars, intelligence gathering, rescue operations, anti-terrorist operations etc., the modern military has to play a role.Since the military has to adapt to, prepare for and respond to the ever changing dynamics of people and surroundings around the world, it becomes necessary to look into what exists currently and what will form the future. Smart cities are such a phenomenon. The cities around the world are transforming to be ""Smart"", to meet various future challenges such as population migration and how to manage the living of such a huge number of people in a relatively small area, improving the quality of various services delivered to citizens, saving and optimizing resource utilization and so on.In such a scenario, where the population and assets need to be protected in Smart Cities, the militaries need to get a hold of the technologies and know the emerging trends in the smart cities. This would give the defence sector a head-start in knowing what capabilities are and would be available so that they are ready to employ their services alongside the Smart City solutions and thus serve their motto optimally. This paper entails the various Smart City assets from various cities as well as involved Internet-of-Things (IoT) technologies and tries to provide a picture of what the military in future can integrate with their solutions to serve the Smart Cities.",,Include,
78,A,unknown,HIGH,smart_city,Exploiting Smart City IoT for Disaster Recovery Operations,"Suri, Niranjan; Zielinski, Zbigniew; Tortonesi, Mauro; Fuchs, Christoph; Pradhan, Manas; Wrona, Konrad; Furtak, Janusz; Vasilache, Dragos Bogdan; Street, Michael; Pellegrini, Vincenzo; Benincasa, Giacomo; Morelli, Alessandro; Stefanelli, Cesare; Casini, Enrico; Dyk, Michal",2018,,2018 IEEE 4TH WORLD FORUM ON INTERNET OF THINGS (WF-IOT),,"Disaster recovery operations are extremely challenging and place significant demands on multiple resources, including local and international emergency response personnel, non-governmental organizations, and the military. In the immediate aftermath of a disaster, one of the most pressing requirements is for situational awareness (SA) so that resources, including personnel and supplies, may be prioritized to have the most impact and help those in the most need. As the recovery operations continue, the SA needs to be continuously updated based on changing conditions in the affected areas. There are many sources of information to provide SA, including reporting by the victims of the disaster as well as observations made by responding personnel. In this context, SA can be significantly enhanced via information obtained from Internet of Things (IoT) devices, especially in a smart city environment. This paper explores the potential to exploit Smart City IoT capabilities to help with disaster recovery operations.",,Include,
