title,year,doi,source_journal,src_file,triage,verdict,model,raw_response
"The urban geopolitics of neighboring: conflict, encounter and class in Jerusalem’s settlement/neighborhood",2019,10.1080/02723638.2018.1500251,Urban Geography,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Stabilizing fragile states,2015,10.4337/9781781955536.00029,Handbook of International Security and Development,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
"Introduction: Cities, justice and conflict",2010,10.1177/0042098009360240,Urban Studies,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
Dual cellular-path (MIHP) healthy urbanism-a proactive means to sustain placemaking,2024,10.55214/25768484.v8i4.1161,Edelweiss Applied Science and Technology,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Maybe,deepseek/deepseek-v4-flash,Maybe
The Impact of Geopolitics on the Development of International Tourism in Macroregions and Countries of the World,2024,10.1007/978-3-031-70886-2_33,Springer Geography,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Debating contemporary urban conflicts: A survey of selected scholars,2013,10.1016/j.cities.2012.08.006,Cities,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Affective atmospheres, urban geopolitics and conflict (de)escalation in Beirut",2017,10.1016/j.polgeo.2017.04.009,Political Geography,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Correlation factors influencing terrorist attacks: political, social or economic? A study of terrorist events in 49 “Belt and Road” countries",2020,10.1007/s11135-019-00946-x,Quality and Quantity,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude.
Analysis of Geopolitical Actors in Urban Space (Drawing the Power Circle of Tehran Metropolis),2023,10.22034/igq.2023.146290,Geopolitics Quarterly,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Feminist geopolitics, cinema, and the sensible encounter in American Sniper",2022,10.1007/s10708-022-10654-z,GeoJournal,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"The politics of time: Political entropy, settler colonialism and urban ruination in Hebron / Al-Khalil, Palestine",2024,10.1016/j.polgeo.2024.103093,Political Geography,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Targeting environmental infrastructures, international law, and civilians in the new Middle Eastern wars",2017,10.1177/0967010617716615,Security Dialogue,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Reconstruction as violence and forced displacement in Syria,2023,10.4337/9781839104978.00046,Handbook on Forced Migration,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
Territorial Conflicts,2015,10.1016/B978-0-08-097086-8.96039-2,International Encyclopedia of the Social & Behavioral Sciences: Second Edition,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Democracy, protest and public space: Does place matter?",2017,10.4324/9781315394183,"Place, Space, and Mediated Communication: Exploring Context Collapse",scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
"Preserving cultural heritage: Shifting paradigms in the face of war, occupation, and identity",2020,10.1016/j.culher.2020.02.013,Journal of Cultural Heritage,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The Haifa Urban Destruction Machine,2016,,Deleuze and the City,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
"Ramming attacks, pedestrians, and the securitization of streets and urban public space: a case study of New York City",2023,10.1057/s41289-022-00180-2,Urban Design International,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Include,deepseek/deepseek-v4-flash,Include
Cross-cultural Encounters in Urban Festivals: Between Liberation and Domination,2022,10.1177/1206331219897036,Space and Culture,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Introduction: Heritage in ‘Conflict-Time’ and Nation-Building in the Former Yugoslavia,2021,10.1007/978-3-030-76401-2_1,Palgrave Studies in Cultural Heritage and Conflict,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The Organizational Culture in the Days Post 9/11: A Critical Insight,2020,10.4018/978-1-7998-3473-1.ch023,"Encyclopedia of Organizational Knowledge, Administration, and Technology",scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
Competitive Globalization and Urban Change: The Allure of Cultural Strategies,2012,10.4324/9780203118368-11,Rethinking Global Urbanism: Comparative Insights from Secondary Cities,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Feminist geopolitics and empathetic encounters with the unseen: Reconsidering black hawk down twenty years later,2023,,Making Geographies of Peace and Conflict,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
"Families, geography, and terrorism in the post-9/11 city: An exploration of place alienation in New York",2006,,Pennsylvania Geographer,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Moving beyond Marcuse: Gentrification, displacement and the violence of un-homing",2020,10.1177/0309132519830511,Progress in Human Geography,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Urban atmospheres of terror,2022,10.1016/j.polgeo.2021.102569,Political Geography,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
  The Drone Eats with Me: The Violent Intimacy of Life under Drones in Atef Abu Saif’s Gaza Diary,2022,10.1080/17526272.2022.2116189,Journal of War and Culture Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Include,deepseek/deepseek-v4-flash,Include
Laboratories of pacification and permanent war: Israeli-US collaboration in the global making of policing,2016,10.4324/9781315680040-3,The Global Making of Policing: Postcolonial perspectives,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Political Discourse Acts as a Transnational Catalyst in the Decision-Making of Architectural Design Interventions,2023,10.4324/9781003243069-5,"Transgressive Design Strategies for Utopian Cities: Theories, Methodologies and Cases in Architecture and Urbanism",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Architecture as an agency of resilience in urban armed conflicts: The case of Nablus City/Palestine,2019,10.1108/ARCH-03-2019-0065,Archnet-IJAR: International Journal of Architectural Research,scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Ghosts of the gates of Baghdad: Monuments, colonialism and spatial transformation in early twentieth-century Iraq",2025,10.1386/jciaw_00174_1,Journal of Contemporary Iraq and the Arab World,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"“The Beauty of Life”: Reciprocity, Aesthetics, and Ecological Ethics in Vernon Lee and William Morris",2025,10.2979/vic.00318,Victorian Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The Forensic Fiction of Roberto Bolaño’s 2666,2017,10.1080/00111619.2016.1246412,Critique - Studies in Contemporary Fiction,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Correspondence: The foundation of the situationist international (June 1957-August 1960); All the king's horses; 50 years of recuperation of the situationist international,2010,10.1163/146544609X12537556703430,Historical Materialism,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The moment to come: geographies of hope in the hyperprecarious sites of occupied Palestine,2019,10.1080/04353684.2019.1569473,"Geografiska Annaler, Series B: Human Geography",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The Palestinian Middle Class in Rawabi: Depoliticizing the Occupation,2015,10.1177/0304375415581259,Alternatives,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Jerusalem: One planning system, two urban realities",2011,10.1080/13604813.2011.595115,City,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Visualizing the Palestinian Struggle: Towards a Critical Analytic of Palestine Solidarity Film,2016,,Global Cinema,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
South Africa,2004,10.1177/0021989404050280,Journal of Commonwealth Literature,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Human Mobility and Borders: The Limits of Global Justice,2019,10.1007/978-3-030-05590-5_5,Studies in Global Justice,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"The ""urban redesign"" of Jenin refugee camp: Humanitarian intervention and rational violence",2012,10.1525/jps.2012.XLI.2.44,Journal of Palestine Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
From “in-betweenness” to “positioned belongings”: second-generation Palestinian-Americans negotiate the tensions of assimilation and transnationalism,2020,10.1080/01419870.2018.1544651,Ethnic and Racial Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Puzzling Memories: Scattered Glimpses of a Journey to the (Un-homely) Land,2023,10.1007/978-3-031-31590-9_4,Mediascapes of Ruined Geographies in the Global South,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Swirling, splashing, slowing: Towards gentle volumes",2023,10.1016/j.polgeo.2023.102964,Political Geography,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"From Yam to Sponge: Recent Controversies around Nepal's Sovereignty, Territory and Hydropower",2025,10.4324/9781003450894-35,"The Routledge International Handbook of Himalayan Environments, Development and Wellbeing",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
"Geopolitics and Ice Humanities: Elemental, Metaphorical and Volumetric Reverberations",2021,10.1080/14650045.2019.1697240,Geopolitics,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Not Quite a Refutation: A Response to David McDermott Hughes's Whiteness in Zimbabwe,2012,10.1080/17533171.2011.644453,Safundi,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Darwish’s act of Naming: Dehumanization and Subjectivity,2025,10.59045/nalans.2025.84,NALANS: Journal of Narrative and Language Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Eviction as infrastructure,2020,10.1080/13604813.2020.1739417,City,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Authority, precarity and conflict at the edge of the state: Some thoughts on resource frontiers",2018,,"Climate Change in Africa: Social and Political Impacts, Conflicts, and Strategies",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
"On the shores of politics: Sea, solidarity and the Ships to Gaza",2019,10.1177/0263775818823750,Environment and Planning D: Society and Space,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Silencing palestinian architectural history in israel: Reflections on scholarship and activism,2021,10.1386/ijia_00042_1,International Journal of Islamic Architecture,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Objects of security: Gendered violence and securitized humanitarianism in occupied Gaza,2010,10.1215/1089201X-2010-003,"Comparative Studies of South Asia, Africa and the Middle East",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Spacing the interior: The carceral body as heterotopia in contemporary Palestinian Cinema,2018,,Spaces of Crisis and Critique: Heterotopias beyond Foucault,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Legislative Attack,2010,10.1177/0263276410380937,"Theory, Culture & Society",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Shifting realities: dislocating Palestinian Jerusalemites from the capital to the edge,2014,10.1080/14616718.2014.933651,International Journal of Housing Policy,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Segregating Infrastructure: The Nazareth Border-Road,2021,10.1007/978-3-030-84083-9_13,Urban Book Series,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Intimacy and the everyday,2013,,The Ashgate Research Companion to Critical Geopolitics,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Forging volumetric methods,2021,10.1111/area.12712,Area,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Jerusalem's road 1: An inner city frontier?,2007,10.1080/13604810701395993,City,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Medicine: Experimentation, Politics, Emergent Bodies",2012,10.1177/1357034X12451860,Body and Society,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
HET PALEIS AAN DE MAAS: GIUDICI’S NEW ARSENAL FOR THE ROTTERDAM ADMIRALTY (1785-1788),2025,10.48003/knob.124.2025.2.856,KNOB Bulletin,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
"Reflections on circulation, logistics, and the frontiers of capitalist supply chains",2019,10.1177/0263775819869446,Environment and Planning D: Society and Space,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
West bank settlement and the transformation of the Zionist housing ethos from shelter to act of violence,2016,10.7480/footprint.10.2.1158,Footprint,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The scales of occupation: 'Operation Cast Lead' and the targeting of the Gaza Strip,2012,10.1177/0308275X12449103,Critique of Anthropology,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Media, materiality, mobility: Understanding geomedia as infrastructure spaces",2017,,Geomedia Studies: Spaces and Mobilities in Mediatized Worlds,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
The discreet charm of bruno latour,2014,10.1057/9781137352835,(Mis)readings of Marx in Continental Philosophy,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Markets and Violence: Qualitative Research and the Neoliberal Future,2018,10.1177/1077800417735658,Qualitative Inquiry,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
What has become of critique? Reassembling sociology after Latour,2018,10.1111/1468-4446.12306,British Journal of Sociology,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Castle & Crook: Necroliberalism and Cartographies of Abandonment in Maquilapolis (City of Factories) and Señorita Extraviada (MissingYoung Woman),2024,10.1215/02705346-11024044,Camera Obscura,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Collaboration and Competition: Master Masons and Painters in the Production of Architectural Designs in the Low Countries in the 16th Century,2022,10.16995/AH.9179,Architectural Histories,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Fleeting fame under the Trademark Dilution Revision Act of 2006,2007,10.1093/jiplp/jpm185,Journal of Intellectual Property Law and Practice,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Settle and Rule: The Evolution of the Israeli National Project,2020,10.1080/20507828.2020.1730624,Architecture and Culture,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Frontiers: Authority, Precarity, and Insurgency at the Edge of the State",2018,10.1016/j.worlddev.2017.03.024,World Development,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"""In another time-zone, the bombs fall unsafety...."": Targets, Civilians, and late modern war",2006,,Arab World Geographer,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Ecocriticism in the colonial present: The politics of dwelling in Raja Shehadeh's Palestinian Walks: Notes on a Vanishing Landscape,2010,10.1080/13688790903490843,Postcolonial Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Green Fields: Ecocriticism in South Africa,2010,,Cross/Cultures,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
"Framing finance: Rebellion, dispossession, and the geopolitics of enclosure in samuel delany's nevèrÿon series",2014,10.1215/01636545-2349104,Radical History Review,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"An Arendtian geopolitics: Action, power and the deferral of work",2021,10.1177/0309132520964955,Progress in Human Geography,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
